what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.v200808300730,org.eclipse.datatools.sqltools.tabledataeditor,1227544549632
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result,1227544549632
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.0.v20080609,org.eclipse.rse.subsystems.files.ftp,1227544549632
stopped,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1227544549632
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200808140615,org.eclipse.datatools.sqltools.sql,1227544549632
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1227544549632
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1227544549632
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.1.v200807010433,org.eclipse.datatools.connectivity.apache.derby.ui,1227544549632
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v200807220100,org.eclipse.datatools.enablement.hsqldb.ui,1227544549632
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.1.v200808300421,org.eclipse.datatools.connectivity.sqm.server.ui,1227544549632
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.ui.dse,1227544549633
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200807211830,org.eclipse.datatools.sqltools.plan,1227544549633
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200807211830,org.eclipse.datatools.sqltools.common.ui,1227544549633
stopped,bundle,org.eclipse.emf.exporter,2.4.0.v200808251517,org.eclipse.emf.exporter,1227544549633
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200808251517,org.eclipse.emf.importer.ecore,1227544549633
stopped,bundle,org.eclipse.emf.importer.java,2.4.1.v200808251517,org.eclipse.emf.importer.java,1227544549633
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200808251517,org.eclipse.emf.importer.rose,1227544549633
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200808251517,org.eclipse.emf.importer,1227544549633
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200808251517,org.eclipse.emf.converter,1227544549633
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200808251517,org.eclipse.emf.codegen.ecore.ui,1227544549633
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200808251517,org.eclipse.emf.codegen.ui,1227544549633
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2ecore.editor,1227544549633
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200808251517,org.eclipse.emf.ecore.editor,1227544549633
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2xml.ui,1227544549633
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ui,1227544549633
